id,stop_id,on_street,cross_street,routes,boardings,alightings,month_beginning,daytype,location,lat,lon,num_routes,route,total_traffic
1,1,JACKSON,AUSTIN,126,183.4,150,10/01/2012,Weekday,"(41.87632184, -87.77410482)",41.87632184,-87.77410482,1,126,333.4
2,2,JACKSON,MAYFIELD (EXTENDED),126,5.3,0.2,10/01/2012,Weekday,"(41.87706679, -87.77131794)",41.87706679,-87.77131794,1,126,5.5
3,3,JACKSON,MENARD,126,8.3,0.7,10/01/2012,Weekday,"(41.87695725, -87.76975039)",41.87695725,-87.76975039,1,126,9
4,4,JACKSON,5700 WEST,126,17.9,3,10/01/2012,Weekday,"(41.87702418, -87.76745055)",41.87702418,-87.76745055,1,126,20.9
5,6,JACKSON,LOTUS,126,74,11.2,10/01/2012,Weekday,"(41.87651300, -87.76144600)",41.876513,-87.761446,1,126,85.2
6,7,JACKSON,5351 WEST,126,14.3,2.5,10/01/2012,Weekday,"(41.87655197, -87.75892544)",41.87655197,-87.75892544,1,126,16.8
7,8,JACKSON,LOCKWOOD,126,62.4,14.1,10/01/2012,Weekday,"(41.87656400, -87.75731300)",41.876564,-87.757313,1,126,76.5
8,9,JACKSON,LARAMIE,126,0.1,0,10/01/2012,Weekday,"(41.87659463, -87.75461526)",41.87659463,-87.75461526,1,126,0.1
9,12,JACKSON,LAVERGNE,126,0,0,10/01/2012,Weekday,"(41.87662062, -87.74912362)",41.87662062,-87.74912362,1,126,0
10,13,JACKSON,4849 WEST,126,0,0,10/01/2012,Weekday,"(41.87668892, -87.74701737)",41.87668892,-87.74701737,1,126,0
11,14,JACKSON,CICERO,126,530.5,145.2,10/01/2012,Weekday,"(41.87676314, -87.74483066)",41.87676314,-87.74483066,1,126,675.7
12,15,JACKSON,KILPATRICK,126,51.6,13.1,10/01/2012,Weekday,"(41.87682975, -87.74254901)",41.87682975,-87.74254901,1,126,64.7
13,16,JACKSON,KENTON,126,16.2,8.1,10/01/2012,Weekday,"(41.87683358, -87.74058525)",41.87683358,-87.74058525,1,126,24.3
14,17,JACKSON,KOLMAR,126,17.9,5.2,10/01/2012,Weekday,"(41.87685748, -87.73934698)",41.87685748,-87.73934698,1,126,23.1
15,18,JACKSON,KILBOURN,126,56.4,29.6,10/01/2012,Weekday,"(41.87688572, -87.73761421)",41.87688572,-87.73761421,1,126,86
16,19,JACKSON,KOSTNER,126,95.1,28.2,10/01/2012,Weekday,"(41.87691497, -87.73515882)",41.87691497,-87.73515882,1,126,123.3
17,20,JACKSON,KILDARE,126,56.3,31,10/01/2012,Weekday,"(41.87693300, -87.73265000)",41.876933,-87.73265,1,126,87.3
18,21,JACKSON,KEELER,126,49.4,21.5,10/01/2012,Weekday,"(41.87696300, -87.73020000)",41.876963,-87.7302,1,126,70.9
19,22,JACKSON,KARLOV,126,25.1,36.1,10/01/2012,Weekday,"(41.87700660, -87.72780787)",41.8770066,-87.72780787,1,126,61.2
20,23,JACKSON,PULASKI,126,239.9,122,10/01/2012,Weekday,"(41.87704003, -87.72532923)",41.87704003,-87.72532923,1,126,361.9
21,24,JACKSON,SPRINGFIELD,126,32.1,16.6,10/01/2012,Weekday,"(41.87706855, -87.72295441)",41.87706855,-87.72295441,1,126,48.7
22,25,JACKSON,HAMLIN,126,60.3,54.6,10/01/2012,Weekday,"(41.87708065, -87.72082664)",41.87708065,-87.72082664,1,126,114.9
23,26,JACKSON,CENTRAL PARK,126,40.1,41.3,10/01/2012,Weekday,"(41.87714182, -87.71547720)",41.87714182,-87.7154772,1,126,81.4
24,27,JACKSON,ST. LOUIS,126,13.1,17.4,10/01/2012,Weekday,"(41.87718100, -87.71324100)",41.877181,-87.713241,1,126,30.5
25,29,JACKSON,SPAULDING,126,9.8,35.3,10/01/2012,Weekday,"(41.87723116, -87.70827664)",41.87723116,-87.70827664,1,126,45.1
26,30,JACKSON,KEDZIE,126,161.5,148.7,10/01/2012,Weekday,"(41.87725804, -87.70577393)",41.87725804,-87.70577393,1,126,310.2
27,31,JACKSON,ALBANY,126,20.1,28,10/01/2012,Weekday,"(41.87728800, -87.70332300)",41.877288,-87.703323,1,126,48.1
28,32,JACKSON,SACRAMENTO,126,54.8,34.6,10/01/2012,Weekday,"(41.87731800, -87.70086700)",41.877318,-87.700867,1,126,89.4
29,33,JACKSON,FRANCISCO,126,56.7,80.9,10/01/2012,Weekday,"(41.87734800, -87.69841000)",41.877348,-87.69841,1,126,137.6
30,34,JACKSON,CALIFORNIA,126,105.4,81.8,10/01/2012,Weekday,"(41.87737082, -87.69595515)",41.87737082,-87.69595515,1,126,187.2
31,35,JACKSON,WASHTENAW,126,30.8,16.8,10/01/2012,Weekday,"(41.87739943, -87.69355299)",41.87739943,-87.69355299,1,126,47.6
32,36,JACKSON,2609 WEST alley,126,8.4,8.3,10/01/2012,Weekday,"(41.87742360, -87.69165753)",41.8774236,-87.69165753,1,126,16.7
33,38,JACKSON,WESTERN,126,81.3,97.1,10/01/2012,Weekday,"(41.87747800, -87.68609300)",41.877478,-87.686093,1,126,178.4
34,39,JACKSON,OAKLEY,126,26.6,148.6,10/01/2012,Weekday,"(41.87749600, -87.68365200)",41.877496,-87.683652,1,126,175.2
35,40,JACKSON,LEAVITT,126,36.1,20.4,10/01/2012,Weekday,"(41.87754396, -87.68127094)",41.87754396,-87.68127094,1,126,56.5
36,41,JACKSON,HOYNE,126,32,85.3,10/01/2012,Weekday,"(41.87739502, -87.67873587)",41.87739502,-87.67873587,1,126,117.3
37,42,JACKSON,DAMEN,126,60.7,92.9,10/01/2012,Weekday,"(41.87742100, -87.67667235)",41.877421,-87.67667235,1,126,153.6
38,48,HARRISON,WOOD,126,1,1.5,10/01/2012,Weekday,"(41.87405900, -87.67133400)",41.874059,-87.671334,1,126,2.5
39,52,JACKSON,1900 W.(MALCOLM X COLL.),126,82.8,229,10/01/2012,Weekday,"(41.87743988, -87.67402389)",41.87743988,-87.67402389,1,126,311.8
40,53,JACKSON,OGDEN,126,23.6,26.8,10/01/2012,Weekday,"(41.87748733, -87.67103731)",41.87748733,-87.67103731,1,126,50.4
41,54,JACKSON,PAULINA,126,34.7,35,10/01/2012,Weekday,"(41.87752440, -87.66899047)",41.8775244,-87.66899047,1,126,69.7
42,55,JACKSON,ASHLAND,126,61.9,88.8,10/01/2012,Weekday,"(41.87755467, -87.66689065)",41.87755467,-87.66689065,1,126,150.7
43,56,JACKSON,LAFLIN,126,66.6,27.1,10/01/2012,Weekday,"(41.87759000, -87.66406800)",41.87759,-87.664068,1,126,93.7
44,57,JACKSON,LOOMIS,126,9.9,15.6,10/01/2012,Weekday,"(41.87763400, -87.66165200)",41.877634,-87.661652,1,126,25.5
